from,to
539992798,226763304
539992798,225045155
539992798,185263063
539992798,148517477
339388611,111078632
339388611,84103629
339388611,13291952
339388611,37252897
339388611,412461481
339388611,822013116
339388611,226763304
339388611,145506782
339388611,225045155
339388611,185263063
339388611,148517477
339388611,48534074
339388611,256844667
113117134,111078632
113117134,24205556
113117134,104227758
113117134,725815213
113117134,979362314
113117134,3165851640
113117134,225045155
113117134,185263063
113117134,148517477
225045155,111078632
225045155,84103629
225045155,1164185431
225045155,382196793
225045155,134823119
225045155,104227758
225045155,37252897
225045155,300453401
225045155,822013116
225045155,226763304
225045155,145506782
225045155,185263063
225045155,148517477
225045155,256844667
35817651,104227758
35817651,37252897
35817651,226763304
35817651,185263063
35817651,148517477
35817651,63801144
148517477,834692426
148517477,111078632
148517477,84103629
148517477,241679842
148517477,1164185431
148517477,382196793
148517477,134823119
148517477,304173425
148517477,13291952
148517477,24205556
148517477,104227758
148517477,37252897
148517477,78927039
148517477,300453401
148517477,822013116
148517477,226763304
148517477,145506782
148517477,2161887906
148517477,185263063
148517477,249502484
256844667,111078632
256844667,37252897
256844667,226763304
256844667,145506782
256844667,48534074
96354656,55446683
96354656,58242325
96354656,1615463502
96354656,97190495
96354656,537204717
96354656,91046596
96354656,15007149
96354656,87951215
96354656,128594349
96354656,493242776
96354656,19674502
96354656,249677516
58242325,87951215
1615463502,33998183
1615463502,4725526294
1615463502,537204717
1615463502,30313925
1615463502,15007149
1615463502,2520470828
1615463502,493242776
1615463502,19674502
1615463502,249677516
1615463502,2888895350
1615463502,369245377
97190495,537204717
97190495,91046596
97190495,87951215
97190495,249677516
537204717,48398586
537204717,91046596
537204717,128534762
537204717,15007149
537204717,87951215
537204717,19674502
537204717,249677516
537204717,2888895350
91046596,87951215
91046596,128594349
91046596,493242776
91046596,249677516
15007149,87951215
15007149,493242776
15007149,19674502
15007149,249677516
87951215,9624742
87951215,128594349
87951215,493242776
87951215,249677516
128594349,493242776
128594349,249677516
493242776,249677516
19674502,325830217
19674502,30313925
19674502,2520470828
19674502,249677516
19674502,2888895350
19674502,24752484
19674502,369245377
19674502,1536791610
249677516,14159148
249677516,2923724679
249677516,148517828
249677516,48398586
249677516,94855785
249677516,3066095291
249677516,473275711
22712651,196131308
22712651,622376253
22712651,41389093
196131308,622376253
196131308,41389093
196131308,53252787
196131308,249670742
196131308,296842582
622376253,5093
622376253,41389093
622376253,910629895
622376253,249670742
41389093,246262362
41389093,53252787
41389093,910629895
41389093,249670742
41389093,294015135
249670742,53252787
249670742,296842582
1577869952,2695127756
1577869952,725815213
1577869952,1527639686
1577869952,294015135
1577869952,3394193014
1577869952,863052332052996097
2695127756,342830626
2695127756,2963966560
2695127756,725815213
2695127756,796008597268418560
2695127756,1339795584
2695127756,1527639686
2695127756,979362314
2695127756,2415900122
2695127756,258842582
2695127756,3394193014
725815213,121413335
725815213,252268498
725815213,20379080
725815213,706983587
725815213,2609247953
725815213,2963966560
725815213,53252787
725815213,1310644517855428612
725815213,1527639686
725815213,979362314
725815213,294015135
725815213,2415900122
725815213,258842582
725815213,964954800
725815213,3165851640
725815213,3394193014
725815213,863052332052996097
1527639686,121413335
1527639686,576362204
1527639686,1577196907
1527639686,246262362
1527639686,20379080
1527639686,988518714
1527639686,2609247953
1527639686,77962713
1527639686,53252787
1527639686,796008597268418560
1527639686,1339795584
1527639686,1310644517855428612
1527639686,282700595
1527639686,979362314
1527639686,294015135
1527639686,36106648
1527639686,2415900122
1527639686,258842582
1527639686,3394193014
1527639686,863052332052996097
294015135,504612081
294015135,121413335
294015135,2152863685
294015135,576362204
294015135,36724337
294015135,14193522
294015135,135230766
294015135,15258500
294015135,1577196907
294015135,246262362
294015135,252268498
294015135,988518714
294015135,1010377351
294015135,2609247953
294015135,53252787
294015135,910629895
294015135,796008597268418560
294015135,1339795584
294015135,1310644517855428612
294015135,105079368
294015135,282700595
294015135,250576428
294015135,979362314
294015135,36106648
294015135,154561844
294015135,2415900122
294015135,199002566
294015135,258842582
294015135,33569853
3394193014,292737923
3394193014,2609247953
3394193014,1310644517855428612
3394193014,282700595
3394193014,979362314
3394193014,2415900122
3394193014,3165851640
3394193014,863052332052996097
863052332052996097,20379080
863052332052996097,258842582
1077176953,138394734
190162349,2925300175
190162349,115099953
190162349,370854566
190162349,94855785
190162349,17463923
190162349,3350899475
190162349,357994145
190162349,377026626
190162349,16544818
834692426,13291952
504612081,576362204
504612081,1903931239
576362204,1577196907
576362204,24674765
576362204,2609247953
576362204,1070597580
576362204,53252787
576362204,250576428
576362204,22245078
1903931239,36724337
1903931239,370854566
1903931239,203332110
86512187,49921218
86512187,381383054
86512187,2243515897
49921218,62840729
49921218,2243515897
2243515897,135187648
205315827,159950527
205315827,243203704
205315827,206717989
159950527,113353016
159950527,45538944
243203704,936564992
243203704,45538944
206717989,123109597
206717989,711864609939066880
292737923,816589143522312192
292737923,979362314
292737923,727168843253161984
292737923,430192796
292737923,3165851640
816589143522312192,2609247953
816589143522312192,979362314
979362314,2152863685
979362314,624846544
979362314,1581175387
979362314,252268498
979362314,1294603230
979362314,2221972801
979362314,706983587
979362314,2609247953
979362314,24205556
979362314,2167343042
979362314,940493580
979362314,796008597268418560
979362314,765616804710539265
979362314,1339795584
979362314,1310644517855428612
979362314,282700595
979362314,860925569395032064
979362314,207415700
979362314,89561531
979362314,727168843253161984
979362314,2415900122
979362314,3165851640
979362314,3269884938
727168843253161984,2221972801
727168843253161984,3053613614
727168843253161984,706983587
727168843253161984,2609247953
727168843253161984,2167343042
727168843253161984,207415700
727168843253161984,820204081
727168843253161984,740302747627606016
727168843253161984,4866708119
727168843253161984,3269884938
3165851640,24205556
3165851640,1310644517855428612
3165851640,860925569395032064
188553022,163964238
550418276,18503318
550418276,416721882
550418276,58209067
550418276,715654996512129025
988518714,342830626
988518714,246262362
988518714,20379080
988518714,2609247953
988518714,53252787
988518714,796008597268418560
988518714,282700595
988518714,154561844
988518714,2415900122
988518714,258842582
988518714,339842145
2609247953,2152863685
2609247953,462987780
2609247953,1581175387
2609247953,1577196907
2609247953,252268498
2609247953,1294603230
2609247953,2221972801
2609247953,706983587
2609247953,2167343042
2609247953,53252787
2609247953,3039190952
2609247953,2595363284
2609247953,796008597268418560
2609247953,1339795584
2609247953,1310644517855428612
2609247953,105079368
2609247953,282700595
2609247953,207415700
2609247953,89561531
2609247953,820204081
2609247953,36106648
2609247953,2415900122
2609247953,258842582
2609247953,1477767732
2609247953,26294884
364511203,179697435
179697435,24205556
179697435,15932815
179697435,8314502
179697435,765616804710539265
121413335,20379080
121413335,1021692544026066944
121413335,20442406
121413335,53252787
121413335,105079368
121413335,154561844
121413335,258842582
121413335,25734012
20379080,246262362
20379080,23680334
20379080,236111720
20379080,53252787
20379080,105079368
20379080,154561844
20379080,21315122
20379080,258842582
20379080,25734012
1021692544026066944,20442406
53252787,2152863685
53252787,36724337
53252787,1577196907
53252787,246262362
53252787,24674765
53252787,5556142
53252787,1010377351
53252787,16402176
53252787,1339795584
53252787,105079368
53252787,282700595
53252787,250576428
53252787,296842582
53252787,36106648
53252787,199002566
105079368,49331471
105079368,257912371
105079368,1339795584
105079368,44646077
105079368,119160803
105079368,207415700
105079368,820204081
154561844,796008597268418560
154561844,25734012
258842582,2963966560
258842582,796008597268418560
258842582,2415900122
25734012,140195803
2152863685,1577196907
2152863685,1339795584
1577196907,36724337
1577196907,246262362
1577196907,24674765
1577196907,1010377351
1577196907,1339795584
1577196907,33569853
1339795584,36724337
1339795584,246262362
1339795584,1010377351
1339795584,3039190952
1339795584,172391256
1339795584,282700595
1339795584,126330386
1339795584,820204081
1339795584,2422843933
1339795584,2415900122
836259391380713472,949410954600763393
