from,to,group,arrows,smooth
252531143,7403862,US Aid,to,1
252531143,27722647,US Aid,to,1
252531143,76347918,US Aid,to,1
252531143,14831475,US Aid,to,1
15035484,976995099170062338,US Aid,to,1
15035484,33874089,US Aid,to,1
15035484,1449728766,US Aid,to,1
15035484,14540457,US Aid,to,1
140880992,1247837144,US Aid,to,1
818282957618216960,65235102,US Aid,to,1
818282957618216960,2192026837,US Aid,to,1
818282957618216960,1520046284,US Aid,to,1
818282957618216960,1224910336643325954,US Aid,to,1
818282957618216960,7403862,US Aid,to,1
818282957618216960,14831475,US Aid,to,1
2544096109,265716304,US Aid,to,1
2544096109,14831475,US Aid,to,1
2544096109,294171330,US Aid,to,1
2544096109,155814794,US Aid,to,1
2544096109,27284203,US Aid,to,1
2544096109,1247837144,US Aid,to,1
387900968,10872822,US Aid,to,1
387900968,365216346,US Aid,to,1
387900968,7403862,US Aid,to,1
387900968,632433,US Aid,to,1
1321421426,1563449509,US Aid,to,1
1321421426,191656494,US Aid,to,1
150324568,294171330,US Aid,to,1
29231980,209967385,US Aid,to,1
29231980,169767749,US Aid,to,1
29231980,265716304,US Aid,to,1
29231980,41646238,US Aid,to,1
29231980,76347918,US Aid,to,1
29231980,365216346,US Aid,to,1
29231980,14831475,US Aid,to,1
